Zip Code,Number of returns,Amount,Average Income
00000,"2,896,570","184,823,250",63807.62
85003,"3,900","290,006",74360.51
85004,"2,960","232,765",78636.82
85006,"9,680","352,359",36400.72
85007,"5,300","278,695",52583.96
85008,"23,140","797,391",34459.42
85009,"15,940","443,128",27799.75
85012,"3,800","407,578",107257.37
85013,"9,800","707,257",72169.08
85014,"12,160","765,897",62984.95
85015,"15,590","545,591",34996.22
85016,"17,560","1,677,786",95545.90
85017,"14,110","376,062",26652.16
85018,"17,200","2,507,921",145809.36
85019,"10,240","311,612",30430.86
85020,"15,970","1,162,716",72806.26
85021,"16,180","1,031,283",63738.13
85022,"23,110","1,416,256",61283.25
85023,"15,340","907,859",59182.46
85024,"12,050","774,926",64309.21
85027,"17,710","872,651",49274.48
85028,"10,090","1,062,222",105274.73
85029,"19,460","784,961",40337.15
85031,"11,560","322,550",27902.25
85032,"30,860","1,646,489",53353.50
85033,"21,280","615,610",28929.04
85034,"2,090","81,778",39128.23
85035,"19,510","549,251",28152.28
85037,"19,830","708,537",35730.56
85040,"11,580","362,724",31323.32
85041,"24,170","923,249",38198.14
85042,"18,060","850,795",47109.36
85043,"12,720","482,662",37945.13
85044,"19,910","1,572,396",78975.19
85045,"3,330","407,820",122468.47
85048,"16,170","1,717,586",106220.53
85050,"13,920","1,404,331",100885.85
85051,"18,110","633,245",34966.59
85053,"13,590","602,778",44354.53
85054,"3,640","335,775",92245.88
85083,"7,980","811,272",101663.16
85085,"10,650","977,393",91773.99
85086,"17,160","1,517,264",88418.65
85087,"3,880","304,877",78576.55
85118,"5,300","459,022",86607.92
85119,"8,160","422,299",51752.33
85120,"10,810","419,037",38763.83
85122,"19,980","893,721",44730.78
85128,"5,380","215,822",40115.61
85131,"3,980","161,827",40660.05
85132,"7,640","376,185",49238.87
85137,780,"34,882",44720.51
85138,"15,070","833,646",55318.25
85139,"7,100","341,695",48126.06
85140,"14,330","823,243",57448.92
85142,"25,800","1,986,140",76982.17
85143,"14,280","715,835",50128.50
85145,900,"47,299",52554.44
85172,740,"28,089",37958.11
85173,960,"39,723",41378.13
85192,480,"19,684",41008.33
85193,"1,210","43,454",35912.40
85194,"2,400","155,427",64761.25
85201,"20,310","741,899",36528.75
85202,"18,250","810,117",44389.97
85203,"15,170","783,237",51630.65
85204,"25,150","1,003,571",39903.42
85205,"17,720","1,110,342",62660.38
85206,"15,250","775,216",50833.84
85207,"20,120","1,655,501",82281.36
85208,"14,530","633,359",43589.75
85209,"17,170","1,018,546",59321.26
85210,"16,400","639,122",38970.85
85212,"14,850","1,069,706",72034.07
85213,"14,290","1,162,828",81373.55
85215,"7,680","591,774",77053.91
85224,"22,340","1,369,684",61310.83
85225,"32,130","1,686,296",52483.54
85226,"18,790","1,485,945",79081.69
85233,"17,790","1,258,570",70745.92
85234,"21,760","1,725,705",79306.30
85248,"16,800","1,787,216",106381.90
85249,"18,720","2,110,080",112717.95
85250,"9,050","808,866",89377.46
85251,"20,450","1,931,191",94434.77
85253,"8,080","3,816,652",472357.92
85254,"22,930","2,524,184",110082.16
85255,"20,030","4,621,284",230718.12
85256,"2,120","84,258",39744.34
85257,"14,990","814,483",54335.09
85258,"12,570","1,730,005",137629.67
85259,"10,560","1,817,035",172067.71
85260,"18,880","2,169,552",114912.71
85262,"5,380","1,751,971",325645.17
85263,"1,010","143,177",141759.41
85264,690,"48,193",69844.93
85266,"5,050","1,091,206",216080.40
85268,"10,950","1,153,225",105317.35
85281,"21,290","997,509",46853.41
85282,"24,450","1,240,870",50751.33
85283,"21,590","1,179,223",54618.94
85284,"9,620","1,367,529",142154.78
85286,"18,460","1,816,290",98390.57
85295,"19,360","1,569,852",81087.40
85296,"19,790","1,563,271",78992.98
85297,"12,970","1,175,802",90655.51
85298,"14,620","1,558,318",106588.10
85301,"22,810","650,845",28533.32
85302,"17,200","700,162",40707.09
85303,"13,220","511,962",38726.32
85304,"12,170","652,615",53624.90
85305,"5,710","315,651",55280.39
85306,"10,910","542,104",49688.73
85307,"4,030","177,535",44053.35
85308,"30,300","2,028,470",66946.20
85309,340,"7,378",21700.00
85310,"9,190","795,698",86583.03
85321,"1,270","47,367",37296.85
85322,250,"11,428",45712.00
85323,"16,920","669,389",39562.00
85324,"1,120","48,995",43745.54
85326,"23,110","1,086,829",47028.52
85331,"13,160","1,610,865",122406.16
85333,190,"6,255",32921.05
85335,"13,870","521,719",37614.92
85337,940,"33,856",36017.02
85338,"22,740","1,379,755",60675.24
85339,"18,560","936,705",50469.02
85340,"13,010","1,059,256",81418.60
85342,500,"30,647",61294.00
85344,"4,030","166,704",41365.76
85345,"25,220","1,081,203",42870.86
85347,170,"10,800",63529.41
85348,620,"24,035",38766.13
85350,"7,200","241,124",33489.44
85351,"13,930","654,380",46976.31
85353,"16,010","648,693",40517.99
85354,"2,470","106,249",43015.79
85355,"4,930","361,314",73288.84
85356,"1,280","59,582",46548.44
85361,"2,590","129,945",50171.81
85363,"2,780","99,882",35928.78
85364,"27,720","1,304,893",47074.06
85365,"17,670","1,002,798",56751.44
85367,"6,990","378,897",54205.58
85373,"8,220","453,348",55151.82
85374,"17,910","1,033,472",57703.63
85375,"13,390","857,708",64055.86
85379,"18,140","1,066,461",58790.57
85381,"12,300","791,320",64334.96
85382,"19,310","1,236,490",64033.66
85383,"23,770","2,554,689",107475.35
85387,"5,100","357,393",70077.06
85388,"11,080","658,012",59387.36
85390,"2,900","176,544",60877.24
85392,"16,430","850,212",51747.53
85395,"12,810","1,102,143",86037.70
85396,"8,840","702,586",79478.05
85501,"3,260","150,549",46180.67
85533,950,"49,135",51721.05
85534,870,"41,352",47531.03
85539,980,"42,301",43164.29
85540,"1,500","98,080",65386.67
85541,"9,140","490,243",53637.09
85542,870,"23,799",27355.17
85543,"1,270","64,566",50839.37
85544,"1,170","71,054",60729.91
85545,170,"7,484",44023.53
85546,"5,720","276,750",48382.87
85552,"2,400","141,326",58885.83
85602,"3,870","181,008",46772.09
85603,"2,730","118,671",43469.23
85606,320,"14,347",44834.38
85607,"6,380","194,822",30536.36
85610,380,"17,965",47276.32
85611,370,"19,066",51529.73
85613,"1,330","55,360",41624.06
85614,"10,940","684,675",62584.55
85615,"3,860","247,075",64009.07
85616,"2,070","91,345",44128.02
85617,370,"15,866",42881.08
85618,560,"20,603",36791.07
85621,"8,860","299,745",33831.26
85622,"3,360","245,781",73149.11
85623,"2,140","141,512",66127.10
85624,540,"28,580",52925.93
85625,670,"29,385",43858.21
85629,"11,270","721,429",64013.22
85630,920,"50,716",55126.09
85631,"1,220","47,707",39104.10
85632,260,"10,978",42223.08
85634,"2,080","71,500",34375.00
85635,"14,700","755,259",51378.16
85637,660,"55,078",83451.52
85638,820,"30,292",36941.46
85640,300,"16,950",56500.00
85641,"10,880","844,044",77577.57
85643,"2,540","104,568",41168.50
85645,770,"28,163",36575.32
85648,"8,010","351,236",43849.69
85650,"6,430","460,640",71639.19
85653,"6,250","326,691",52270.56
85658,"6,080","576,001",94737.01
85701,"2,640","138,316",52392.42
85704,"15,710","1,056,031",67220.31
85705,"20,680","599,217",28975.68
85706,"20,490","567,920",27716.94
85708,"1,200","53,847",44872.50
85710,"25,960","1,104,754",42556.01
85711,"17,430","726,624",41688.12
85712,"14,030","618,422",44078.55
85713,"17,850","566,539",31738.88
85714,"5,500","150,301",27327.45
85715,"9,080","705,734",77724.01
85716,"13,960","676,642",48470.06
85718,"13,640","2,143,301",157133.50
85719,"14,400","608,969",42289.51
85730,"17,530","750,801",42829.49
85735,"4,180","181,058",43315.31
85736,"1,400","51,593",36852.14
85737,"10,820","977,485",90340.57
85739,"8,410","647,482",76989.54
85741,"15,420","753,603",48871.79
85742,"12,800","875,553",68402.58
85743,"12,820","863,196",67331.98
85745,"16,130","964,079",59769.31
85746,"17,150","635,800",37072.89
85747,"10,860","743,440",68456.72
85748,"9,290","652,994",70289.99
85749,"8,990","938,647",104410.12
85750,"11,890","1,491,152",125412.28
85755,"7,530","815,507",108301.06
85756,"12,360","494,236",39986.73
85757,"8,030","339,589",42290.04
85901,"5,900","296,947",50330.00
85920,230,"13,180",57304.35
85924,720,"30,432",42266.67
85925,"1,510","78,296",51851.66
85928,500,"25,838",51676.00
85929,"3,300","166,233",50373.64
85935,"1,950","124,123",63652.82
85936,"1,310","61,160",46687.02
85937,"2,930","141,469",48282.94
85938,960,"46,144",48066.67
86001,"11,880","803,541",67638.13
86004,"17,140","969,623",56570.77
86005,"6,770","477,330",70506.65
86022,730,"24,999",34245.21
86024,260,"19,885",76480.77
86025,"2,160","84,938",39323.15
86030,370,"10,826",29259.46
86034,630,"20,347",32296.83
86036,160,"5,501",34381.25
86039,550,"18,019",32761.82
86042,540,"17,049",31572.22
86043,560,"15,160",27071.43
86044,"1,140","37,936",33277.19
86045,"4,110","155,223",37767.15
86046,"2,630","119,171",45312.17
86047,"4,760","187,650",39422.27
86301,"10,870","693,706",63818.40
86303,"8,290","614,930",74177.32
86305,"8,700","732,167",84157.13
86314,"15,870","670,310",42237.56
86315,"3,780","260,231",68844.18
86321,780,"49,859",63921.79
86322,"4,970","218,262",43915.90
86323,"7,800","361,369",46329.36
86324,"1,950","101,136",51864.62
86325,"2,460","147,994",60160.16
86326,"10,770","481,457",44703.53
86327,"4,680","248,882",53179.91
86332,580,"23,296",40165.52
86333,"2,010","76,330",37975.12
86334,"1,690","71,017",42021.89
86335,"1,830","72,657",39703.28
86336,"5,360","452,431",84408.77
86351,"2,930","246,846",84247.78
86401,"10,020","526,557",52550.60
86403,"7,090","318,082",44863.47
86404,"7,000","373,690",53384.29
86406,"9,930","590,446",59460.83
86409,"9,500","378,946",39889.05
86413,"3,250","112,828",34716.31
86426,"5,780","261,955",45320.93
86429,"2,990","148,222",49572.58
86434,580,"21,818",37617.24
86436,660,"25,600",38787.88
86440,"2,500","100,661",40264.40
86441,510,"15,623",30633.33
86442,"12,490","447,437",35823.62
86444,380,"14,933",39297.37
86445,120,"4,423",36858.33
86514,800,"27,259",34073.75