ZipCode,City,nb of crimes,Number of returns,crime per tax payer
85003, Phoenix,2203.0,3900.0,0.5648717948717948
85004, Phoenix,2310.0,2960.0,0.7804054054054054
85006, Phoenix,3769.0,9680.0,0.3893595041322314
85007, Phoenix,3002.0,5300.0,0.5664150943396227
85008, Phoenix,8935.0,23140.0,0.38612791702679344
85009, Phoenix,7968.0,15940.0,0.4998745294855709
85012, Phoenix,1202.0,3800.0,0.3163157894736842
85013, Phoenix,4061.0,9800.0,0.4143877551020408
85014, Phoenix,3244.0,12160.0,0.2667763157894737
85015, Phoenix,9828.0,15590.0,0.6304041051956383
85016, Phoenix,5379.0,17560.0,0.3063211845102506
85017, Phoenix,7525.0,14110.0,0.533309709425939
85018, Phoenix,3642.0,17200.0,0.21174418604651163
85019, Phoenix,4272.0,10240.0,0.4171875
85020, Phoenix,4160.0,15970.0,0.2604884157795867
85021, Phoenix,6283.0,16180.0,0.38831891223733006
85022, Phoenix,4956.0,23110.0,0.2144526179143228
85023, Phoenix,5479.0,15340.0,0.3571707953063885
85024, Phoenix,1270.0,12050.0,0.1053941908713693
85027, Phoenix,3940.0,17710.0,0.2224731789949181
85028, Phoenix,1056.0,10090.0,0.10465807730426165
85029, Phoenix,5722.0,19460.0,0.29403905447070916
85031, Phoenix,4341.0,11560.0,0.3755190311418685
85032, Phoenix,5946.0,30860.0,0.19267660401814646
85033, Phoenix,5955.0,21280.0,0.27984022556390975
85034, Phoenix,3894.0,2090.0,1.8631578947368421
85035, Phoenix,6694.0,19510.0,0.3431060994361866
85037, Phoenix,4276.0,19830.0,0.2156328794755421
85040, Phoenix,5289.0,11580.0,0.4567357512953368
85041, Phoenix,7805.0,24170.0,0.3229209764170459
85042, Phoenix,4906.0,18060.0,0.2716500553709856
85043, Phoenix,6216.0,12720.0,0.48867924528301887
85044, Phoenix,2638.0,19910.0,0.13249623304871924
85045, Phoenix,111.0,3330.0,0.03333333333333333
85048, Phoenix,1210.0,16170.0,0.07482993197278912
85050, Phoenix,1379.0,13920.0,0.099066091954023
85051, Phoenix,7810.0,18110.0,0.4312534511319713
85053, Phoenix,2844.0,13590.0,0.20927152317880796
85054, Phoenix,767.0,3640.0,0.21071428571428572
85083, Phoenix,449.0,7980.0,0.056265664160401005
85085, Phoenix,1366.0,10650.0,0.12826291079812208
85086, Anthem,477.0,17160.0,0.027797202797202797
85087, New River,116.0,3880.0,0.029896907216494847
85118, Gold Canyon,,5300.0,
85119, Apache Junction,,8160.0,
85120, Apache Junction,,10810.0,
85121, Casa Blanca,,,
85122, Casa Grande,,19980.0,
85123, Arizona City,,,
85128, Coolidge,,5380.0,
85131, Eloy,,3980.0,
85132, Florence,,7640.0,
85137, Kearny,,780.0,
85138, Maricopa,,15070.0,
85139, Maricopa,,7100.0,
85140, San Tan Valley,,14330.0,
85141, Picacho,,,
85142, Queen Creek,,25800.0,
85143, San Tan Valley,,14280.0,
85145, Red Rock,,900.0,
85147, Sacaton,,,
85172, Stanfield,,740.0,
85173, Superior,,960.0,
85193, Casa Grande,,1210.0,
85194, Casa Grande,,2400.0,
85201, Mesa,3.0,20310.0,0.00014771048744460856
85202, Mesa,10.0,18250.0,0.000547945205479452
85203, Mesa,1.0,15170.0,6.591957811470006e-05
85204, Mesa,3.0,25150.0,0.00011928429423459245
85205, Mesa,,17720.0,
85206, Mesa,,15250.0,
85207, Mesa,,20120.0,
85208, Mesa,1.0,14530.0,6.882312456985548e-05
85209, Mesa,,17170.0,
85210, Mesa,5.0,16400.0,0.0003048780487804878
85212, Mesa,1.0,14850.0,6.734006734006734e-05
85213, Mesa,4.0,14290.0,0.00027991602519244227
85215, Mesa,2.0,7680.0,0.00026041666666666666
85224, Chandler,2.0,22340.0,8.952551477170994e-05
85225, Chandler,7.0,32130.0,0.00021786492374727668
85226, Chandler,3.0,18790.0,0.00015965939329430547
85233, Gilbert,2.0,17790.0,0.00011242270938729624
85234, Gilbert,2.0,21760.0,9.191176470588235e-05
85248, Chandler,1.0,16800.0,5.9523809523809524e-05
85249, Chandler,,18720.0,
85250, Scottsdale,1.0,9050.0,0.00011049723756906077
85251, Scottsdale,79.0,20450.0,0.003863080684596577
85253, Paradise Valley,57.0,8080.0,0.007054455445544555
85254, Phoenix,2000.0,22930.0,0.08722197993894461
85255, Scottsdale,63.0,20030.0,0.003145282076884673
85256, Scottsdale,,2120.0,
85257, Scottsdale,5.0,14990.0,0.000333555703802535
85258, Scottsdale,2.0,12570.0,0.00015910898965791568
85259, Scottsdale,,10560.0,
85260, Scottsdale,15.0,18880.0,0.0007944915254237289
85262, Scottsdale,1.0,5380.0,0.0001858736059479554
85263, Rio Verde,,1010.0,
85264, Fort McDowell,,690.0,
85266, Scottsdale,1.0,5050.0,0.00019801980198019803
85268, Fountain Hills,1.0,10950.0,9.132420091324201e-05
85281, Tempe,12.0,21290.0,0.0005636449037106623
85282, Tempe,9.0,24450.0,0.0003680981595092025
85283, Tempe,3.0,21590.0,0.00013895321908290875
85284, Tempe,,9620.0,
85286, Chandler,2.0,18460.0,0.00010834236186348862
85295, Gilbert,2.0,19360.0,0.00010330578512396694
85296, Gilbert,3.0,19790.0,0.00015159171298635674
85297, Gilbert,2.0,12970.0,0.00015420200462606013
85298, Gilbert,,14620.0,
85301, Glendale,49.0,22810.0,0.002148180622533976
85302, Glendale,20.0,17200.0,0.0011627906976744186
85303, Glendale,16.0,13220.0,0.001210287443267776
85304, Glendale,407.0,12170.0,0.03344289235825801
85305, Glendale,3.0,5710.0,0.0005253940455341507
85306, Glendale,625.0,10910.0,0.05728689275893675
85307, Glendale,294.0,4030.0,0.07295285359801489
85308, Glendale,1446.0,30300.0,0.047722772277227724
85309, Glendale,,340.0,
85310, Phoenix,482.0,9190.0,0.05244831338411317
85320, Aguila,,,
85322, Arlington,,250.0,
85323, Avondale,10.0,16920.0,0.000591016548463357
85326, Buckeye,3.0,23110.0,0.00012981393336218086
85331, Phoenix,413.0,13160.0,0.03138297872340425
85335, El Mirage,1.0,13870.0,7.209805335255949e-05
85337, Gila Bend,1.0,940.0,0.0010638297872340426
85338, Goodyear,4.0,22740.0,0.00017590149516270889
85339, Phoenix,3472.0,18560.0,0.1870689655172414
85340, Litchfield Park,,13010.0,
85342, Morristown,,500.0,
85343, Palo Verde,,,
85345, Peoria,8.0,25220.0,0.00031720856463124506
85351, Sun City,1.0,13930.0,7.178750897343863e-05
85353, Phoenix,1876.0,16010.0,0.11717676452217364
85354, Tonopah,,2470.0,
85355, Waddell,1.0,4930.0,0.00020283975659229209
85361, Wittmann,,2590.0,
85363, Youngtown,2.0,2780.0,0.0007194244604316547
85373, Sun City,,8220.0,
85374, Surprise,,17910.0,
85375, Sun City West,,13390.0,
85377, Carefree,,,
85379, Surprise,,18140.0,
85381, Peoria,1.0,12300.0,8.130081300813008e-05
85382, Peoria,2.0,19310.0,0.00010357327809425168
85383, Peoria,4.0,23770.0,0.00016827934371055952
85387, Surprise,,5100.0,
85388, Surprise,,11080.0,
85390, Wickenburg,,2900.0,
85392, Avondale,10.0,16430.0,0.0006086427267194157
85395, Goodyear,2.0,12810.0,0.000156128024980484
85396, Buckeye,13.0,8840.0,0.0014705882352941176
85618, Mammoth,,560.0,
85623, Oracle,,2140.0,
85631, San Manuel,,1220.0,
