ZipCode,City_x,Date,County,City_y,Zhvi
85003, Phoenix,2018-08-31,Maricopa,Phoenix,395100.0
85004, Phoenix,2018-08-31,Maricopa,Phoenix,262600.0
85006, Phoenix,,,,
85007, Phoenix,,,,
85008, Phoenix,2018-08-31,Maricopa,Phoenix,206400.0
85009, Phoenix,,,,
85012, Phoenix,2018-08-31,Maricopa,Phoenix,467900.0
85013, Phoenix,2018-08-31,Maricopa,Phoenix,305100.0
85014, Phoenix,2018-08-31,Maricopa,Phoenix,283700.0
85015, Phoenix,2018-08-31,Maricopa,Phoenix,198600.0
85016, Phoenix,2018-08-31,Maricopa,Phoenix,313600.0
85017, Phoenix,,,,
85018, Phoenix,2018-08-31,Maricopa,Phoenix,536400.0
85019, Phoenix,,,,
85020, Phoenix,2018-08-31,Maricopa,Phoenix,238200.0
85021, Phoenix,2018-08-31,Maricopa,Phoenix,267300.0
85022, Phoenix,2018-08-31,Maricopa,Phoenix,270500.0
85023, Phoenix,2018-08-31,Maricopa,Phoenix,240600.0
85024, Phoenix,2018-08-31,Maricopa,Phoenix,279600.0
85027, Phoenix,2018-08-31,Maricopa,Phoenix,221300.0
85028, Phoenix,2018-08-31,Maricopa,Phoenix,388400.0
85029, Phoenix,2018-08-31,Maricopa,Phoenix,194400.0
85031, Phoenix,,,,
85032, Phoenix,2018-08-31,Maricopa,Phoenix,255000.0
85033, Phoenix,,,,
85034, Phoenix,2018-08-31,Maricopa,Phoenix,153500.0
85035, Phoenix,,,,
85037, Phoenix,,,,
85040, Phoenix,,,,
85041, Phoenix,2018-08-31,Maricopa,Phoenix,191900.0
85042, Phoenix,2018-08-31,Maricopa,Phoenix,203700.0
85043, Phoenix,2018-08-31,Maricopa,Phoenix,193000.0
85044, Phoenix,2018-08-31,Maricopa,Phoenix,283500.0
85045, Phoenix,2018-08-31,Maricopa,Phoenix,379700.0
85048, Phoenix,2018-08-31,Maricopa,Phoenix,339600.0
85050, Phoenix,2018-08-31,Maricopa,Phoenix,343800.0
85051, Phoenix,2018-08-31,Maricopa,Phoenix,180000.0
85053, Phoenix,2018-08-31,Maricopa,Phoenix,217000.0
85054, Phoenix,2018-08-31,Maricopa,Phoenix,382800.0
85083, Phoenix,2018-08-31,Maricopa,Phoenix,369500.0
85085, Phoenix,2018-08-31,Maricopa,Phoenix,378700.0
85086, Anthem,2018-08-31,Maricopa,Anthem,349400.0
85087, New River,2018-08-31,Maricopa,New River,368600.0
85118, Gold Canyon,2018-08-31,Pinal,Gold Canyon,285600.0
85119, Apache Junction,2018-08-31,Pinal,Apache Junction,234000.0
85120, Apache Junction,2018-08-31,Pinal,Apache Junction,185400.0
85121, Casa Blanca,,,,
85122, Casa Grande,2018-08-31,Pinal,Casa Grande,166900.0
85123, Arizona City,2018-08-31,Pinal,Casa Grande,131400.0
85128, Coolidge,2018-08-31,Pinal,Coolidge,130300.0
85131, Eloy,,,,
85132, Florence,2018-08-31,Pinal,Florence,174200.0
85137, Kearny,,,,
85138, Maricopa,2018-08-31,Pinal,Maricopa,198500.0
85139, Maricopa,2018-08-31,Pinal,Maricopa,185400.0
85140, San Tan Valley,2018-08-31,Pinal,Queen Creek,222200.0
85141, Picacho,,,,
85142, Queen Creek,2018-08-31,Pinal,Queen Creek,305800.0
85143, San Tan Valley,2018-08-31,Pinal,San Tan Valley,207800.0
85145, Red Rock,2018-08-31,Pima,Marana,155900.0
85147, Sacaton,,,,
85172, Stanfield,,,,
85173, Superior,,,,
85193, Casa Grande,,,,
85194, Casa Grande,2018-08-31,Pinal,Casa Grande,230300.0
85201, Mesa,2018-08-31,Maricopa,Mesa,186300.0
85202, Mesa,2018-08-31,Maricopa,Mesa,227000.0
85203, Mesa,2018-08-31,Maricopa,Mesa,255500.0
85204, Mesa,2018-08-31,Maricopa,Mesa,216500.0
85205, Mesa,2018-08-31,Maricopa,Mesa,229300.0
85206, Mesa,2018-08-31,Maricopa,Mesa,225100.0
85207, Mesa,2018-08-31,Maricopa,Mesa,314700.0
85208, Mesa,2018-08-31,Maricopa,Mesa,212000.0
85209, Mesa,2018-08-31,Maricopa,Mesa,255700.0
85210, Mesa,2018-08-31,Maricopa,Mesa,196100.0
85212, Mesa,2018-08-31,Maricopa,Mesa,304600.0
85213, Mesa,2018-08-31,Maricopa,Mesa,306800.0
85215, Mesa,2018-08-31,Maricopa,Mesa,290400.0
85224, Chandler,2018-08-31,Maricopa,Chandler,260300.0
85225, Chandler,2018-08-31,Maricopa,Chandler,256200.0
85226, Chandler,2018-08-31,Maricopa,Chandler,288800.0
85233, Gilbert,2018-08-31,Maricopa,Gilbert,297600.0
85234, Gilbert,2018-08-31,Maricopa,Gilbert,308600.0
85248, Chandler,2018-08-31,Maricopa,Chandler,349600.0
85249, Chandler,2018-08-31,Maricopa,Chandler,386200.0
85250, Scottsdale,2018-08-31,Maricopa,Scottsdale,348300.0
85251, Scottsdale,2018-08-31,Maricopa,Scottsdale,321100.0
85253, Paradise Valley,2018-08-31,Maricopa,Paradise Valley,1482600.0
85254, Phoenix,2018-08-31,Maricopa,Phoenix,471500.0
85255, Scottsdale,2018-08-31,Maricopa,Scottsdale,669400.0
85256, Scottsdale,,,,
85257, Scottsdale,2018-08-31,Maricopa,Scottsdale,321200.0
85258, Scottsdale,2018-08-31,Maricopa,Scottsdale,495700.0
85259, Scottsdale,2018-08-31,Maricopa,Scottsdale,626400.0
85260, Scottsdale,2018-08-31,Maricopa,Scottsdale,412500.0
85262, Scottsdale,2018-08-31,Maricopa,Scottsdale,873100.0
85263, Rio Verde,2018-08-31,Maricopa,Rio Verde,471000.0
85264, Fort McDowell,,,,
85266, Scottsdale,2018-08-31,Maricopa,Scottsdale,689400.0
85268, Fountain Hills,2018-08-31,Maricopa,Fountain Hills,390900.0
85281, Tempe,2018-08-31,Maricopa,Tempe,239500.0
85282, Tempe,2018-08-31,Maricopa,Tempe,274400.0
85283, Tempe,2018-08-31,Maricopa,Tempe,269200.0
85284, Tempe,2018-08-31,Maricopa,Tempe,423200.0
85286, Chandler,2018-08-31,Maricopa,Chandler,361900.0
85295, Gilbert,2018-08-31,Maricopa,Gilbert,314000.0
85296, Gilbert,2018-08-31,Maricopa,Gilbert,298400.0
85297, Gilbert,2018-08-31,Maricopa,Gilbert,328100.0
85298, Gilbert,2018-08-31,Maricopa,Gilbert,380800.0
85301, Glendale,,,,
85302, Glendale,2018-08-31,Maricopa,Glendale,205200.0
85303, Glendale,2018-08-31,Maricopa,Glendale,195300.0
85304, Glendale,2018-08-31,Maricopa,Glendale,227900.0
85305, Glendale,2018-08-31,Maricopa,Glendale,247000.0
85306, Glendale,2018-08-31,Maricopa,Glendale,231100.0
85307, Glendale,2018-08-31,Maricopa,Glendale,203600.0
85308, Glendale,2018-08-31,Maricopa,Glendale,283600.0
85309, Glendale,,,,
85310, Phoenix,2018-08-31,Maricopa,Phoenix,311500.0
85320, Aguila,,,,
85322, Arlington,,,,
85323, Avondale,2018-08-31,Maricopa,Avondale,209600.0
85326, Buckeye,2018-08-31,Maricopa,Buckeye,199300.0
85331, Phoenix,2018-08-31,Maricopa,Phoenix,471900.0
85335, El Mirage,2018-08-31,Maricopa,El Mirage,189100.0
85337, Gila Bend,2018-08-31,Maricopa,Gila Bend,100800.0
85338, Goodyear,2018-08-31,Maricopa,Goodyear,244900.0
85339, Phoenix,2018-08-31,Maricopa,Phoenix,234200.0
85340, Litchfield Park,2018-08-31,Maricopa,Litchfield Park,305200.0
85342, Morristown,2018-08-31,Maricopa,Peoria,243200.0
85343, Palo Verde,,,,
85345, Peoria,2018-08-31,Maricopa,Peoria,199000.0
85351, Sun City,2018-08-31,Maricopa,Sun City,162100.0
85353, Phoenix,2018-08-31,Maricopa,Phoenix,211600.0
85354, Tonopah,,,,
85355, Waddell,2018-08-31,Maricopa,Waddell,328800.0
85361, Wittmann,2018-08-31,Maricopa,Surprise,312400.0
85363, Youngtown,2018-08-31,Maricopa,Youngtown,153100.0
85373, Sun City,2018-08-31,Maricopa,Sun City,224000.0
85374, Surprise,2018-08-31,Maricopa,Surprise,236900.0
85375, Sun City West,2018-08-31,Maricopa,Sun City West,238100.0
85377, Carefree,2018-08-31,Maricopa,Carefree,720000.0
85379, Surprise,2018-08-31,Maricopa,Surprise,243000.0
85381, Peoria,2018-08-31,Maricopa,Peoria,261600.0
85382, Peoria,2018-08-31,Maricopa,Peoria,269300.0
85383, Peoria,2018-08-31,Maricopa,Peoria,386700.0
85387, Surprise,2018-08-31,Maricopa,Surprise,313800.0
85388, Surprise,2018-08-31,Maricopa,Surprise,249600.0
85390, Wickenburg,2018-08-31,Maricopa,Wickenburg,275000.0
85392, Avondale,2018-08-31,Maricopa,Avondale,235000.0
85395, Goodyear,2018-08-31,Maricopa,Goodyear,333500.0
85396, Buckeye,2018-08-31,Maricopa,Buckeye,281500.0
85618, Mammoth,,,,
85623, Oracle,2018-08-31,Pinal,Oracle,238100.0
85631, San Manuel,2018-08-31,Pinal,San Manuel,62600.0
